Date,Content,Content link,Influencer,Type,Tags,Estimated cost,CPM,Subscribers,Region,Promotion type,Engagement rate,Views,Likes,Comments,Brand,Like rate,Comment rate,Calculated ER,Views per 1K subscribers,Cost per 1K views,Views per dollar,Creator tier,Month,Content theme
2025-07-04,racing at home - stroke and stride,https://www.youtube.com/watch?v=E3SyZoP4M1I,Gwen Jorgensen,"Health,Food,Technology","olympic trials,gwen jorgensen,marathon training,gwen jorgensen nutrition,global triathlon network",155,27.0,55000,美国,Suspected,0.0784,4564,208,15,Major Fitness,0.04557405784399649,0.003286590709903593,0.048860648553900085,82.98181818181818,33.96143733567047,29.44516129032258,Mid,2025-07,Strength / Training
2025-07-04,Home Gym Con 2025 - The Best Vendors and Equipment Previews You HAVE to See!,https://www.youtube.com/watch?v=Noo_CBJnq24,Luke’s Garage Gym,"Workout,Home,Travel,Health","fitness,budget,gym,gymequipment,titan",99,27.0,5500,美国,Suspected,0.2609,1878,80,41,Major Fitness,0.042598509052183174,0.021831735889243878,0.06443024494142705,341.45454545454544,52.715654952076676,18.96969696969697,Nano,2025-07,Home Gym / Garage Gym
2025-07-01,Building a Home Gym from the Ground Up | Builds by Maz,https://www.youtube.com/watch?v=DR7BsvYbILI,Builds by Maz,"DIY,Hobby,Home","diy,hobby,life style,home,builds by maz",210,27.0,21400,美国,Mentioned,0.0609,3219,96,10,Major Fitness,0.02982292637465051,0.0031065548306927616,0.032929481205343274,150.42056074766356,65.23765144454799,15.32857142857143,Micro,2025-07,Home Gym / Garage Gym
2025-06-27,"Why HEAVY Kettlebell Swings Are the Secret Weapon for Power, Resilience, & Speed (UNDERRATED!)",https://www.youtube.com/watch?v=zVNuU1SkqDE,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.0,67600,美国,Suspected,0.1201,18922,983,129,Major Fitness,0.0519501109819258,0.00681746115632597,0.05876757213825177,279.91124260355025,26.265722439488428,38.072434607645874,Mid,2025-06,Strength / Training
2025-06-26,Major Fitness Weight Plates: Which Makes the Most Sense for Your Home Gym?,https://www.youtube.com/shorts/zhQB2diqw_c,Luke’s Garage Gym,"Workout,Home,Travel,Health","fitness,budget,gym,gymequipment,titan",99,27.0,5500,美国,Sponsored,0.0368,1168,23,2,Major Fitness,0.019691780821917807,0.0017123287671232876,0.021404109589041095,212.36363636363637,84.76027397260275,11.797979797979798,Nano,2025-06,Home Gym / Garage Gym
2025-06-25,Spirit B52 Pro Home Gym System,https://www.youtube.com/shorts/gHlxgb63oNg,Gritty Soldier,"Military,Workout,Health,Sports","military,fitness,workout,usarmy,soldiers",366,27.0,176000,美国,Suspected,0.0522,7565,345,5,Major Fitness,0.04560475875743556,0.0006609385327164573,0.046265697290152015,42.98295454545455,48.380700594844676,20.669398907103826,Macro,2025-06,Home Gym / Garage Gym
2025-06-24,Home Gym Equipment with a LIFETIME Warranty??,https://www.youtube.com/shorts/-N5SLzhA-XE,Luke’s Garage Gym,"Workout,Home,Travel,Health","fitness,budget,gym,gymequipment,titan",99,27.0,5500,美国,Suspected,0.0391,1458,17,4,Major Fitness,0.011659807956104253,0.0027434842249657062,0.01440329218106996,265.0909090909091,67.90123456790123,14.727272727272727,Nano,2025-06,Home Gym / Garage Gym
2025-06-23,"You Bench More, But I’m Stronger 🙄",https://www.youtube.com/shorts/Ax7ucFPj3EI,REVIVAL Fitness,"Health,Fitness","revivalfitness,religion,building,health,gym",1967,27.0,65400,美国,Suspected,0.069,75964,2099,314,Major Fitness,0.027631509662471698,0.0041335369385498396,0.031765046601021536,1161.5290519877676,25.89384445263546,38.619217081850536,Mid,2025-06,Strength / Training
2025-06-21,You Will NEVER Get Lean Eating Like This (Dr Mike Grocery Haul Reaction),https://www.youtube.com/watch?v=uNyznfoaxpc,REVIVAL Fitness,"Health,Fitness","revivalfitness,religion,building,health,gym",1967,27.0,65400,美国,Suspected,0.2833,15191,633,367,Major Fitness,0.041669409518794026,0.024159041537752616,0.06582845105654664,232.27828746177371,129.48456322822724,7.722928317234367,Mid,2025-06,Strength / Training
2025-06-17,How Strong SHOULD You Be For Size? (Beyond the Power Lifts),https://www.youtube.com/watch?v=_O2lMVgm-qY,REVIVAL Fitness,"Health,Fitness","revivalfitness,religion,building,health,gym",1967,27.0,65400,美国,Suspected,0.1764,27741,833,406,Major Fitness,0.030027756749936917,0.014635377239465052,0.04466313398940197,424.17431192660547,70.90587938430481,14.103202846975089,Mid,2025-06,Strength / Training
2025-06-15,MAJOR FITNESS | Strong Father Builds Strong Family | B52 Pro All-In-One Home Gym Smith Machine,https://www.youtube.com/watch?v=7ix8VDRC_ng,MAJOR FITNESS,"Workout,Home,Health,Challenge","homegym,garagegym,fitness,workout,majorfitness",96,27.0,26000,美国,Suspected,0.0002,134638,12,2,Major Fitness,8.912788365840253e-05,1.4854647276400422e-05,0.00010398253093480295,5178.384615384615,0.7130230692672203,1402.4791666666667,Micro,2025-06,Home Gym / Garage Gym
2025-06-14,3 TRUTHS About Front Squats That Most Lifters Get Wrong (#2 is KEY!),https://www.youtube.com/watch?v=C9suNrO9mTI,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.0,67600,美国,Suspected,0.0478,15654,219,53,Major Fitness,0.01399003449597547,0.003385716110898173,0.017375750606873644,231.5680473372781,31.749073719177208,31.49698189134809,Mid,2025-06,Strength / Training
