Brand,Content theme,videos,creators,total_views,avg_views,avg_engagement
Major Fitness,Strength / Training,279,27,8316910,29809.713261648747,0.13990931899641576
Major Fitness,Home Gym / Garage Gym,181,28,1562972,8635.204419889502,0.06749889502762431
Major Fitness,Equipment Review,38,14,296650,7806.578947368421,0.1212263157894737
Major Fitness,Lifestyle / Vlog,1,1,4576,4576.0,0.1565
Major Fitness,Sports / Athlete,1,1,1091,1091.0,0.0596
Major Fitness,Health / Nutrition,4,3,330,82.5,0.429325
RITFIT,Home Gym / Garage Gym,64,21,1390751,21730.484375,0.0731734375
RITFIT,Strength / Training,33,10,977954,29634.969696969696,0.19286060606060607
RITFIT,Lifestyle / Vlog,33,3,286375,8678.030303030304,0.29035151515151514
RITFIT,Equipment Review,19,11,187692,9878.526315789473,0.07280526315789473
RITFIT,DIY / Build,2,1,39421,19710.5,0.0634
RITFIT,Other,2,2,6808,3404.0,0.178
