Brand,Influencer,collaborations,subscribers,total_views,avg_views,median_views,avg_engagement,avg_calculated_er,total_likes,total_comments,estimated_cost,avg_cost_per_1k_views,avg_views_per_1k_subscribers,view_score,engagement_score,efficiency_score,repeat_score,Opportunity score,Competitor overlap
Major Fitness,REVIVAL Fitness,78,65400,6465656,82893.02564102564,18416.0,0.21181025641025641,0.05527321458225345,207959,39477,153426,120.6185200385049,1267.4774562847958,0.9782608695652174,0.9021739130434783,0.9347826086956522,0.9891304347826086,95.05434782608695,False
Major Fitness,Enkiri Elite Fitness,35,67600,933679,26676.542857142857,13038.0,0.10432,0.04179247532092933,14658,2500,17395,63.69600890978184,394.62341504649197,0.8804347826086957,0.6086956521739131,0.7608695652173914,0.967391304347826,80.0,True
RITFIT,Enkiri Elite Fitness,33,68100,922351,27950.030303030304,13084.0,0.10343939393939394,0.041192493708756744,14476,2436,16401,63.24519840061267,410.42628932496774,0.8913043478260869,0.5978260869565217,0.7717391304347826,0.9510869565217391,80.0,True
RITFIT,Mikee Rogers,30,18600,152747,5091.566666666667,3450.5,0.30809,0.08327323678711361,7612,3005,4170,37.11642769732378,273.74014336917566,0.6086956521739131,0.9565217391304348,0.717391304347826,0.9347826086956522,78.80434782608697,False
RITFIT,Challenge Theory,3,13200,30195,10065.0,669.0,0.14423333333333332,0.0437090879305144,652,96,309,140.75921707417547,762.5,0.7391304347826086,0.7934782608695652,0.8695652173913043,0.7010869565217391,77.77173913043478,True
RITFIT,kenzie mac,3,53900,139170,46390.0,53738.0,0.08696666666666668,0.04631061996586253,4437,373,4002,85.72251301283724,860.6679035250463,0.9239130434782609,0.4891304347826087,0.8913043478260869,0.7010869565217391,76.25,False
Major Fitness,Isaiah’s Life,69,15100,333126,4827.913043478261,3382.0,0.14201449275362318,0.05788253796205283,14051,2514,8970,37.96582667928732,319.7293406276994,0.5869565217391305,0.7717391304347826,0.7282608695652174,0.9782608695652174,74.67391304347825,False
RITFIT,Maguire’s Gym,6,1950,17161,2860.1666666666665,699.0,0.13263333333333335,0.0442095154929871,198,52,30,8.889569546006648,1466.7521367521367,0.44565217391304346,0.7282608695652174,0.9456521739130435,0.842391304347826,72.06521739130434,False
RITFIT,RitFit.Sports,25,4050,629773,25190.92,2364.0,0.018032000000000003,0.007922188986384804,501,43,2500,392.9975873622988,6219.980246913581,0.8695652173913043,0.09782608695652174,0.9782608695652174,0.907608695652174,71.14130434782608,False
Major Fitness,Kamtoofyee,2,88200,58344,29172.0,29172.0,0.0941,0.0493303546100698,1148,86,7640,961.5692149546105,330.7482993197279,0.9021739130434783,0.532608695652174,0.7391304347826086,0.6086956521739131,71.03260869565217,False
RITFIT,The Kurt Locker,1,8810,8323,8323.0,8323.0,0.1729,0.0409708037967079,219,122,76,9.131322840321998,944.72190692395,0.6956521739130435,0.8369565217391305,0.9239130434782609,0.2826086956521739,70.54347826086956,False
RITFIT,Design. Build. Lift.,3,12900,34517,11505.666666666666,11631.0,0.07196666666666666,0.0260157504995779,683,177,180,5.479823371708591,891.9121447028424,0.7717391304347826,0.391304347826087,0.9021739130434783,0.7010869565217391,69.51086956521739,True
Major Fitness,Luke’s Garage Gym,21,5500,64677,3079.8571428571427,1878.0,0.10810952380952382,0.03065251514764957,1034,412,2079,63.814206476048334,559.974025974026,0.4673913043478261,0.6413043478260869,0.8152173913043478,0.8913043478260869,68.26086956521739,True
Major Fitness,Design. Build. Lift.,5,12900,38132,7626.4,8359.0,0.07246,0.021821636619762462,560,234,255,11.66061913343749,591.1937984496124,0.6739130434782609,0.41304347826086957,0.8260869565217391,0.8206521739130435,67.6086956521739,True
RITFIT,Jeff Does What!,2,31200,39421,19710.5,19710.5,0.0634,0.05099817952984245,2343,29,332,12.894532574864135,631.7467948717948,0.8369565217391305,0.30434782608695654,0.8478260869565217,0.6086956521739131,66.08695652173913,False
Major Fitness,Gritty Soldier,33,176000,392479,11893.30303030303,7544.0,0.0979,0.05655030331033553,13367,1392,12078,74.94229668039215,67.57558539944903,0.782608695652174,0.5543478260869565,0.3695652173913043,0.9510869565217391,65.59782608695653,False
Major Fitness,MAJOR FITNESS,112,26000,1230394,10985.660714285714,827.5,0.037587499999999996,0.028952906238112586,28486,169,10752,1033.1295218776431,422.5254120879121,0.75,0.14130434782608695,0.782608695652174,1.0,65.59782608695653,False
Major Fitness,Science Based Fitness,6,4360,16697,2782.8333333333335,2920.0,0.09618333333333334,0.026382022843546182,294,108,336,31.776822704373995,638.2645259938838,0.43478260869565216,0.5434782608695652,0.8586956521739131,0.842391304347826,64.94565217391303,True
RITFIT,Janine Delaney,1,102000,95457,95457.0,95457.0,0.0585,0.0482101888808573,4493,109,5284,55.35476706789444,935.8529411764706,0.9891304347826086,0.266304347826087,0.9130434782608695,0.2826086956521739,64.80978260869564,False
RITFIT,Luke’s Garage Gym,9,5580,24153,2683.6666666666665,1781.0,0.09932222222222223,0.0293577714823792,542,231,603,34.63178217323402,480.9438470728794,0.42391304347826086,0.5760869565217391,0.7934782608695652,0.8641304347826086,64.23913043478261,True
Major Fitness,TheJungleGymReviews,2,3670,12879,6439.5,6439.5,0.0674,0.022341639113364148,225,68,108,8.424631080028242,1754.632152588556,0.6630434782608695,0.32608695652173914,0.9565217391304348,0.6086956521739131,64.13043478260869,False
RITFIT,Will Hall,1,18800,489612,489612.0,489612.0,0.0219,0.0161964984518353,7618,312,392,0.8006339713895901,26043.191489361703,1.0,0.10869565217391304,1.0,0.2826086956521739,63.36956521739131,False
Major Fitness,Gym Crafter,5,7550,4468,893.6,857.0,0.37504,0.0832846714629524,211,135,545,155.62528865291284,118.35761589403974,0.22826086956521738,0.9782608695652174,0.5760869565217391,0.8206521739130435,62.119565217391305,False
RITFIT,Matt Pendergraph,1,8000,6304,6304.0,6304.0,0.0996,0.038229695431472,198,43,102,16.18020304568528,788.0,0.6413043478260869,0.5869565217391305,0.8804347826086957,0.2826086956521739,61.576086956521735,False
RITFIT,Usawa Fitness Garage Gym Reviews,2,10200,3363,1681.5,1681.5,0.23245,0.05330206928469925,114,64,184,55.93468537688606,164.8529411764706,0.32608695652173914,0.9456521739130435,0.6304347826086957,0.6086956521739131,61.358695652173914,True
