Influencer,Major collaborations,RITFIT collaborations,Major views,RITFIT views,Subscribers
Enkiri Elite Fitness,35,33,933679,922351,68100
Luke’s Garage Gym,21,9,64677,24153,5580
Design. Build. Lift.,5,3,38132,34517,12900
Science Based Fitness,6,1,16697,1513,4390
Garage Gym Life,3,1,13066,2341,58900
Joey Suggs,1,2,12857,19736,66200
Hybrid Resistance,3,1,11941,4219,60600
Challenge Theory,3,3,8009,30195,13200
Aviator’s Garage,4,1,3802,428,3730
NoFate247,1,4,1489,6765,26100
Usawa Fitness Garage Gym Reviews,1,2,1008,3363,10200
