Month,Brand,videos,creators,total_views,avg_views,avg_engagement,estimated_cost
2024-07,Major Fitness,36,12,157785,4382.916666666667,0.13969722222222222,12046
2024-07,RITFIT,6,5,20952,3492.0,0.06924999999999999,1839
2024-08,Major Fitness,56,16,1102636,19689.928571428572,0.09688035714285714,22818
2024-08,RITFIT,13,9,136331,10487.0,0.1036076923076923,3026
2024-09,Major Fitness,56,14,657516,11741.357142857143,0.10363750000000001,21969
2024-09,RITFIT,23,9,241078,10481.652173913044,0.0684086956521739,7576
2024-10,Major Fitness,62,12,552704,8914.58064516129,0.12006290322580646,29552
2024-10,RITFIT,13,7,610971,46997.769230769234,0.1386,3492
2024-11,Major Fitness,57,13,720059,12632.61403508772,0.13462631578947368,20492
2024-11,RITFIT,25,14,572078,22883.12,0.13672800000000002,12229
2024-12,Major Fitness,46,13,198089,4306.282608695652,0.10289999999999999,11021
2024-12,RITFIT,12,6,108944,9078.666666666666,0.19328333333333333,5925
2025-01,Major Fitness,34,11,312151,9180.911764705883,0.1540205882352941,21605
2025-01,RITFIT,11,6,222553,20232.090909090908,0.1482,2378
2025-02,Major Fitness,24,8,392882,16370.083333333334,0.10545416666666667,14959
2025-02,RITFIT,15,7,225687,15045.8,0.16231333333333334,5546
2025-03,Major Fitness,43,16,495987,11534.581395348838,0.0980093023255814,16993
2025-03,RITFIT,9,5,204925,22769.444444444445,0.10788888888888888,2464
2025-04,Major Fitness,34,10,367013,10794.5,0.10137941176470588,14772
2025-04,RITFIT,11,7,76140,6921.818181818182,0.1685909090909091,1460
2025-05,Major Fitness,34,15,4792139,140945.26470588235,0.11938529411764706,29784
2025-05,RITFIT,9,5,391516,43501.77777777778,0.1955888888888889,1832
2025-06,Major Fitness,19,8,423907,22310.894736842107,0.0944578947368421,16728
2025-06,RITFIT,6,3,77826,12971.0,0.49488333333333334,1686
2025-07,Major Fitness,3,3,9661,3220.3333333333335,0.13340000000000002,464
