Date,Content,Content link,Influencer,Type,Tags,Estimated cost,CPM,Subscribers,Region,Promotion type,Engagement rate,Views,Likes,Comments
06/27/2025,"Why HEAVY Kettlebell Swings Are the Secret Weapon for Power, Resilience, & Speed (UNDERRATED!)",https://www.youtube.com/watch?v=zVNuU1SkqDE,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.1052,25761,1249,146
06/26/2025,Major Fitness Weight Plates: Which Makes the Most Sense for Your Home Gym?,https://www.youtube.com/shorts/zhQB2diqw_c,Luke’s Garage Gym,"Workout,Home,Travel,Health","fitness,budget,gym,gymequipment,titan",67,27.00,5580,美国,Suspected,0.0361,1220,24,2
06/24/2025,Home Gym Equipment with a LIFETIME Warranty??,https://www.youtube.com/shorts/-N5SLzhA-XE,Luke’s Garage Gym,"Workout,Home,Travel,Health","fitness,budget,gym,gymequipment,titan",67,27.00,5580,美国,Suspected,0.0398,1483,19,4
06/14/2025,3 TRUTHS About Front Squats That Most Lifters Get Wrong (#2 is KEY!),https://www.youtube.com/watch?v=C9suNrO9mTI,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.0482,15840,234,53
06/09/2025,The ULTIMATE Adjustable Bench!? RitFit BWB02 Review! (Most Versatile Bench I’ve Ever Used),https://www.youtube.com/watch?v=iIO3WKLzAwo,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.0159,33464,482,5
06/02/2025,"Weekend VLOG | Working Mom Life | Balancing Fitness, Family & Self Care",https://www.youtube.com/watch?v=nYyBP_bDioU,Life With Nathalie,"Fashion,Beauty,Clothing,Entertainment","fashion,beauty,clothing,entertainment,pregnancy",61,27.00,2120,美国,Suspected,2.7241,58,8,15
05/29/2025,"Life in my 40s | Balancing work, life, grief & gratitude",https://www.youtube.com/watch?v=SgXpK07tQds,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.3168,2724,173,69
05/24/2025,How to Build Savage Power in One Brutal Lift (Become a FREAK ATHLETE!),https://www.youtube.com/watch?v=aofT-S--yDY,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.2079,4348,254,65
05/23/2025,🔥RitFit Gazelle Pro Leg Press vs BLP01 Leg Press,https://www.youtube.com/watch?v=3xz0y35pjs4,RitFit.Sports,"Workout,Home,Health","fitness,home,workout,ritfit,homegym",100,27.00,4050,美国,Sponsored,0,353730,10,0
05/22/2025,Decluttering VLOG and getting rid of 80% of my clothes | Homeowner Diaries,https://www.youtube.com/watch?v=ZAWRgfIk29A,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.1861,5137,236,72
05/17/2025,Starting 75 Soft in my 40s (tough but rewarding),https://www.youtube.com/watch?v=YNTrm9MQy4g,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.2747,2592,152,56
05/17/2025,Leg Press for Hypertrophy? I Changed My Mind,https://www.youtube.com/watch?v=uU8HghjE9g8,Science Based Fitness,"Fitness,Health","fitness,health,lifestyle,science based fitness,gym",79,27.00,4390,美国,Suspected,0.0112,1513,17,0
05/15/2025,Heavy-Duty Bench with Adjustable Headrest | RitFit BWB02 Review,https://www.youtube.com/watch?v=GFHiotRt5Oc,Challenge Theory,"Health,Fitness,Sports","diet,transformation,fasting,health,lose weight",103,27.00,13200,美国,Suspected,0.1722,389,17,5
05/08/2025,Major Fitness F22 Pro Power Rack REVIEW (The Best Budget Rack Upgrade of 2025!?),https://www.youtube.com/watch?v=pX5Kq_MKZRs,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.0147,18546,83,19
05/08/2025,Redefining My 40s | Birthday Vlog,https://www.youtube.com/watch?v=iEVD9LHGuRQ,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.5767,2537,173,129
04/26/2025,Easter KBBQ Feast & the Most EXPENSIVE Pop Mart,https://www.youtube.com/watch?v=2aYel8xK8ac,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.3673,2352,154,71
04/24/2025,New arrivals | RitFit 3-Section Adjustable Weight Bench BWB02,https://www.youtube.com/watch?v=K-r1-oh1J_o,RitFit.Sports,"Workout,Home,Health","fitness,home,workout,ritfit,homegym",100,27.00,4050,美国,Sponsored,0.0893,291,6,2
04/24/2025,Ultimate Ritfit Gazelle Guide: Get Stronger Legs Fast,https://www.youtube.com/watch?v=qne7MS42YGA,Jeff Does What!,"DIY,Pets,Unboxing,Fishing","diy,pets,aquarium,fish,texas fish room",166,27.00,31200,美国,Suspected,0.0692,31319,2076,9
04/20/2025,Game Changer or Home Gym Mistake? RitFit Adjustable Weight Bench Review,https://www.youtube.com/watch?v=WHY80GI-9HM,Maguire’s Gym ,,,5,14.00,1950,其他,Suspected,0.1869,765,23,12
04/20/2025,RitFit Buffalo Smith Machine has you covered for a full-body workout 🔥,https://www.youtube.com/shorts/XQtkfOvaskA,RitFit.Sports,"Workout,Home,Health","fitness,home,workout,ritfit,homegym",100,27.00,4050,美国,Sponsored,0.0381,2809,97,1
04/16/2025,First Time Vlogging on Canon Powershot V1,https://www.youtube.com/watch?v=KSlF96fXr8g,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.1508,9784,335,114
04/13/2025,Don’t Make THIS Mistake Installing the RitFit M1 Weight Stack Set,https://www.youtube.com/watch?v=S70U5B2tjSs,Challenge Theory,"Health,Fitness,Sports","diet,transformation,fasting,health,lose weight",103,27.00,13200,美国,Suspected,0.2123,669,22,12
04/12/2025,Still Running Push Pull Legs? Time to Grow Up! (DO THIS INSTEAD),https://www.youtube.com/watch?v=drqT1M6XyUY,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.1341,22083,1121,184
04/06/2025,Solo Date Q&A,https://www.youtube.com/watch?v=cV9P93OlkDM,Mikee Rogers,"Food,VLOG,Fashion,Home","food,vlog,vlogger,lgbt,mukbang",139,27.00,18600,美国,Suspected,0.4518,2501,190,94
04/04/2025,10 Rules That Will Transform Your Home Gym Workouts,https://www.youtube.com/watch?v=WRBO6gyFaiw,Maguire’s Gym ,,,5,14.00,1950,其他,Suspected,0.1333,2490,112,22
04/01/2025,Which Rack Are You Choosing?? | RitFit Rack Face Off:  M1 2.0 vs Buffalo Rack,https://www.youtube.com/shorts/dGBkbpd0bX0,Luke’s Garage Gym,"Workout,Home,Travel,Health","fitness,budget,gym,gymequipment,titan",67,27.00,5580,美国,Suspected,0.0214,1077,23,0
03/30/2025,RitFit Racks Face Off - Which One Actually Delivers Results?,https://www.youtube.com/shorts/FcWaizjUBds,Luke’s Garage Gym,"Workout,Home,Travel,Health","fitness,budget,gym,gymequipment,titan",67,27.00,5580,美国,Suspected,0.0406,2192,29,6
03/28/2025,RitFit PLC01 REVIEW || My Experience with a Budget Leg Extension & Curl Machine (Is It Worth It? ),https://www.youtube.com/watch?v=_dA4MvWYmWk,Enkiri Elite Fitness,"Fitness,Health,Sports,Entertainment","fitness,bodybuilding,health,workout,enkirielitefitness",497,27.00,68100,美国,Suspected,0.0275,13084,110,25
